State,Agency Type,Agency Name,Population1,Assault Offenses,Aggravated Assault,Simple Assault,Intimidation,Kidnapping/ Abduction,Sex Offenses,Rape,Sodomy,Fondling,"Sex Offenses, Nonforcible",Statutory Rape,Arson,Burglary/ Breaking & Entering,Counter- feiting/ Forgery,Destruction/ Damage/ Vandalism,Embezzle- ment,Fraud Offenses,False Pretenses/ Swindle/ Confidence Game,Credit Card/ Automated Teller Machine Fraud,Imperson- ation,Wire Fraud,Larceny- Theft Offenses,Purse- snatching,Shop- lifting,Theft From Building,Theft From Coin- operated Machine,Theft From Motor Vehicle,Theft of Motor Vehicle Parts or Accessories,All Other Larceny,Motor Vehicle Theft,Robbery,Stolen Property Offenses ,Drug/ Narcotic Offenses,Drug/ Narcotic Violations,Drug Equipment Violations,Porno- graphy/ Obscene Material,Weapon Law Violations,Total Offenses
MASSACHUSETTS,Cities,Quincy,93736.0,795.0,288.0,371.0,136.0,7.0,51.0,32.0,2.0,19.0,1.0,1.0,13.0,499.0,67.0,297.0,5.0,233.0,79.0,66.0,80.0,8.0,1073.0,2.0,105.0,134.0,1.0,284.0,33.0,488.0,119.0,84.0,1.0,201.0,201.0,12.0,3.0,27.0,5842.0
MASSACHUSETTS,Cities,Randolph,32624.0,356.0,98.0,201.0,57.0,2.0,15.0,8.0,1.0,6.0,1.0,1.0,4.0,152.0,21.0,232.0,2.0,41.0,9.0,28.0,1.0,3.0,380.0,1.0,69.0,25.0,1.0,70.0,11.0,204.0,25.0,18.0,3.0,117.0,84.0,33.0,2.0,13.0,2290.0
MASSACHUSETTS,Cities,Raynham,13518.0,93.0,13.0,70.0,10.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,48.0,32.0,48.0,2.0,41.0,29.0,7.0,5.0,2.0,316.0,2.0,72.0,4.0,1.0,29.0,1.0,205.0,19.0,5.0,3.0,30.0,30.0,12.0,1.0,3.0,1121.0
MASSACHUSETTS,Cities,Reading,25223.0,41.0,4.0,23.0,14.0,1.0,6.0,3.0,2.0,4.0,2.0,2.0,2.0,44.0,3.0,87.0,1.0,71.0,28.0,36.0,4.0,7.0,140.0,1.0,18.0,63.0,2.0,33.0,4.0,19.0,9.0,6.0,3.0,11.0,8.0,3.0,1.0,1.0,679.0
MASSACHUSETTS,Cities,Rehoboth,11724.0,77.0,13.0,45.0,19.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,46.0,3.0,133.0,1.0,23.0,12.0,3.0,8.0,2.0,157.0,2.0,5.0,19.0,1.0,36.0,4.0,97.0,5.0,3.0,4.0,15.0,15.0,12.0,1.0,4.0,750.0
MASSACHUSETTS,Cities,Revere,52926.0,745.0,187.0,363.0,195.0,13.0,25.0,12.0,8.0,5.0,10.0,10.0,2.0,207.0,28.0,639.0,7.0,191.0,64.0,64.0,63.0,2.0,887.0,21.0,164.0,98.0,1.0,144.0,20.0,430.0,174.0,73.0,20.0,90.0,85.0,5.0,3.0,32.0,5102.0
MASSACHUSETTS,Cities,Rochester,5308.0,38.0,5.0,22.0,11.0,2.0,6.0,3.0,2.0,4.0,2.0,2.0,2.0,23.0,1.0,37.0,2.0,10.0,7.0,1.0,2.0,2.0,43.0,1.0,2.0,13.0,1.0,5.0,4.0,22.0,2.0,1.0,4.0,5.0,5.0,12.0,1.0,2.0,263.0
MASSACHUSETTS,Cities,Rockport,7068.0,23.0,3.0,17.0,3.0,2.0,6.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,1.0,6.0,2.0,2.0,2.0,6.0,4.0,2.0,13.0,2.0,10.0,6.0,1.0,14.0,4.0,6.0,1.0,3.0,1.0,4.0,4.0,12.0,2.0,1.0,102.0
MASSACHUSETTS,Cities,Rowley,5955.0,26.0,4.0,17.0,5.0,2.0,6.0,3.0,2.0,4.0,2.0,2.0,2.0,7.0,1.0,7.0,2.0,1.0,1.0,6.0,4.0,2.0,9.0,2.0,2.0,1.0,1.0,14.0,4.0,6.0,1.0,3.0,3.0,2.0,2.0,12.0,1.0,5.0,99.0
MASSACHUSETTS,Cities,Rutland,8073.0,66.0,13.0,37.0,16.0,2.0,6.0,6.0,2.0,4.0,8.0,8.0,2.0,33.0,4.0,52.0,3.0,21.0,8.0,7.0,6.0,2.0,29.0,2.0,10.0,1.0,1.0,1.0,4.0,27.0,2.0,3.0,3.0,20.0,20.0,12.0,4.0,2.0,406.0
MASSACHUSETTS,Cities,Salisbury,8422.0,210.0,30.0,111.0,69.0,2.0,8.0,5.0,3.0,4.0,4.0,4.0,2.0,48.0,5.0,96.0,6.0,41.0,30.0,7.0,4.0,2.0,181.0,2.0,16.0,34.0,1.0,27.0,4.0,100.0,12.0,1.0,6.0,39.0,38.0,1.0,1.0,6.0,1155.0
MASSACHUSETTS,Cities,Sandwich,20848.0,151.0,31.0,85.0,35.0,2.0,8.0,5.0,2.0,1.0,4.0,3.0,1.0,116.0,9.0,146.0,3.0,32.0,24.0,6.0,8.0,2.0,208.0,2.0,15.0,56.0,1.0,39.0,4.0,97.0,8.0,3.0,11.0,47.0,47.0,12.0,1.0,6.0,1204.0
MASSACHUSETTS,Cities,Saugus,27075.0,197.0,58.0,110.0,29.0,1.0,7.0,5.0,2.0,2.0,3.0,3.0,1.0,114.0,22.0,314.0,4.0,197.0,82.0,53.0,62.0,2.0,735.0,2.0,214.0,36.0,1.0,106.0,1.0,370.0,41.0,25.0,18.0,54.0,54.0,12.0,3.0,9.0,2950.0
